race,date,city_wapo,state,body_camera,AGENCYNAME,POL_BWC,PERS_TRN_ACAD,PERS_TRN_FIELD,POL_COMP_EXTINV,POL_INV_INJRY,POL_INV_DTH,POL_INV_DCHG_GUN,PERS_CULTURE,PERS_CONFLICT,PERS_TOTAL,PERS_WHITE,FRAC_WHITE,PERS_BLACK,FRAC_BLACK,PERS_HISP,FRAC_HISP,PERS_AMIND,FRAC_AMIND,PERS_ASIAN,FRAC_ASIAN,PERS_HAWPI,FRAC_HAWPI,PERS_MULTI,FRAC_MULTI,PERS_UNK,FRAC_UNK
W,2015-01-13,Albuquerque,NM,1,ALBUQUERQUE POLICE DEPARTMENT,1,1040,640,1,0,0,0,1,0,816,459,0.5625,16,0.0196078431372549,318,0.3897058823529412,8,0.00980392156862745,5,0.006127450980392157,3,0.003676470588235294,7,0.00857843137254902,0,0.0
W,2015-01-13,Jourdanton,TX,0,ATASCOSA COUNTY SHERIFF'S OFFICE,0,700,500,1,1,1,0,1,1,42,20,0.47619047619047616,0,0.0,21,0.5,0,0.0,0,0.0,1,0.023809523809523808,0,0.0,0,0.0
B,2015-01-14,St. Paul,MN,0,SAINT PAUL POLICE DEPARTMENT,0,480,640,1,1,1,0,1,1,749,556,0.7423230974632844,38,0.050734312416555405,33,0.044058744993324434,7,0.009345794392523364,71,0.09479305740987984,2,0.0026702269692923898,39,0.0520694259012016,3,0.004005340453938585
W,2015-01-14,Franklin County,MO,0,SAINT LOUIS COUNTY POLICE DEPARTMENT,0,1000,600,0,0,0,0,0,0,813,715,0.8794587945879458,77,0.09471094710947109,12,0.014760147601476014,1,0.0012300123001230013,3,0.0036900369003690036,0,0.0,5,0.006150061500615006,0,0.0
B,2015-01-14,Chesapeake,VA,0,CHESAPEAKE POLICE DEPARTMENT,1,1060,490,0,0,0,0,0,0,379,299,0.7889182058047494,50,0.13192612137203166,19,0.05013192612137203,0,0.0,9,0.023746701846965697,0,0.0,0,0.0,2,0.005277044854881266
W,2015-01-14,Lake Jackson,TX,0,CLUTE POLICE DEPARTMENT,0,640,600,0,1,1,1,0,0,24,21,0.875,0,0.0,3,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
W,2015-01-14,Draper,UT,1,WEST VALLEY CITY POLICE DEPARTMENT,1,600,800,0,1,1,0,1,0,190,176,0.9263157894736842,2,0.010526315789473684,7,0.03684210526315789,0,0.0,3,0.015789473684210527,2,0.010526315789473684,0,0.0,0,0.0
B,2015-01-15,Indianapolis,IN,0,MCCORDSVILLE POLICE DEPARTMENT,0,600,480,0,0,1,1,0,0,12,12,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
B,2015-01-15,Aurora,CO,0,AURORA POLICE DEPARTMENT,1,1080,560,0,0,1,1,0,0,685,574,0.8379562043795621,29,0.042335766423357665,54,0.07883211678832117,5,0.0072992700729927005,9,0.013138686131386862,1,0.00145985401459854,13,0.01897810218978102,0,0.0
W,2015-01-15,Bloomington,MN,0,SHAKOPEE POLICE DEPARTMENT,0,0,640,0,0,1,0,0,0,47,46,0.9787234042553191,0,0.0,0,0.0,0,0.0,1,0.02127659574468085,0,0.0,0,0.0,0,0.0
H,2015-01-15,Fairfield,CA,0,FAIRFIELD POLICE DEPARTMENT,1,880,120,0,1,1,1,1,0,116,99,0.853448275862069,4,0.034482758620689655,8,0.06896551724137931,0,0.0,3,0.02586206896551724,2,0.017241379310344827,0,0.0,0,0.0
W,2015-01-15,Evangeline Parish,LA,0,LOUISIANA STATE POLICE,1,880,400,0,0,0,0,0,0,1209,955,0.7899090157154673,205,0.1695616211745244,0,0.0,8,0.006617038875103391,9,0.007444168734491315,2,0.0016542597187758478,22,0.018196856906534328,8,0.006617038875103391
W,2015-01-16,Mabank,TX,0,TEXAS DEPARTMENT OF PUBLIC SAFETY,1,1176,1200,0,0,0,0,0,0,3796,2239,0.589831401475237,320,0.08429926238145416,1167,0.30742887249736567,36,0.009483667017913594,34,0.008956796628029505,0,0.0,0,0.0,0,0.0
O,2015-01-16,Fremont,CA,0,FREMONT POLICE DEPARTMENT,1,1064,836,0,0,0,0,0,1,188,118,0.6276595744680851,9,0.047872340425531915,25,0.13297872340425532,1,0.005319148936170213,18,0.09574468085106383,0,0.0,0,0.0,17,0.09042553191489362
B,2015-01-17,Muskogee,OK,1,WARNER POLICE DEPARTMENT,1,640,40,1,1,1,1,1,1,3,1,0.3333333333333333,0,0.0,0,0.0,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0
